"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_constraints_compile_to_one_effective_range","Unit Tests","2026-09-22","passed","2026-09-22","Test","tool_version_constraints_test","",""
"","3","test_e0202_duplicate_profile_name","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","8","test_comments_change_nothing_but_the_comments","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DWriterTest","writer_test","",""
"","6","test_the_fixture_is_clean","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","2","test_e0303_a_repeated_vertex","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","0","test_the_schemas_the_format_is_made_of_are_present","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DApiTest","api_test","",""
"","4","test_netlist_reduction_1","Unit Tests","2026-09-22","passed","2026-09-22","Test","netlist_json_test","",""
"","2","test_e0105_off_grid","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","0","test_normed_ascending","Unit Tests","2026-09-22","passed","2026-09-22","NetCoupleKeyTest","extraction_results_test","",""
"","3","test_clipping_a_polygon_via_cut_is_rejected","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","2119","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-09-22","passed","2026-09-22","","rcx25_CC_sky130A_test","",""
"","2","test_e0103_a_dropped_continuation","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","1","test_the_naming_convention","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DArtifactTest","artifact_test","",""
"","1","test_klayout_box_to_pb","Unit Tests","2026-09-22","passed","2026-09-22","ShapesConverterTest","shapes_pb2_converter_test","",""
"","3","test_e0275_a_dielectric_naming_a_profile_the_scene_has_not_got","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","16","test_an_abutting_device_gets_only_a_boundary_strip","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DBuilderTerminalTest","pex25d_builder_test","",""
"","0","test_klayout_box","Unit Tests","2026-09-22","passed","2026-09-22","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_klayout_polygon","Unit Tests","2026-09-22","passed","2026-09-22","ShapesConverterTest","shapes_pb2_converter_test","",""
"","16","test_an_invalid_file_exits_one","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DCLITest","pex25d_cli_test","",""
"","2","test_reads_the_fixture_without_diagnostics","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","1","test_touching_is_not_overlapping","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DGeometryTest","geometry_test","",""
"","8","test_every_exported_name_resolves","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DApiTest","api_test","",""
"","7","test_overlap_is_symmetric","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DGeometryTest","geometry_test","",""
"","3904","test_mom_cap__whiteboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-09-22","passed","2026-09-22","","rcx25_CC_sky130A_test","",""
"","3","test_no_w0265_when_the_file_states_no_resistance_at_all","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","3","test_e0274_dielectrics_out_of_depth_order","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","3","test_e0202_the_background_is_in_the_namespace_too","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","3","test_wrap_depth_and_root","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","12","test_node_capacitance_may_be_fractional","Unit Tests","2026-09-22","passed","2026-09-22","Test","magic_log_analyzer_test","",""
"","3","test_clipping_can_split_a_terminal_into_disjoint_boxes","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","2","test_domain_margin_expands_the_geometry_bounds","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","19","test_a_label_outside_the_pin_marker_is_ignored","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DBuilderTerminalTest","pex25d_builder_test","",""
"","2","test_layers_whose_z_extents_only_touch_do_not_overlap","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","2","test_e0101_record_ends_early","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","4","test_e0309_a_shape_reaching_out_of_a_hole","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","0","test_ring_is_simple","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DGeometryTest","geometry_test","",""
"","10","test_e0104_rejects_number_forms_python_would_accept","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","424","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","2058","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-09-22","passed","2026-09-22","","rcx25_CC_sky130A_test","",""
"","11","test_netlist_reduction_2","Unit Tests","2026-09-22","passed","2026-09-22","Test","netlist_json_test","",""
"","1","test_ports_are_reported","Unit Tests","2026-09-22","passed","2026-09-22","Test","magic_log_analyzer_test","",""
"","3","test_the_background_never_competes_for_occupancy","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","17","test_a_device_terminal_keeps_all_its_disjoint_shapes_in_one_node","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DBuilderTerminalTest","pex25d_builder_test","",""
"","2","test_one_conductor_may_overlap_itself","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","1","test_e0106_a_length_before_units","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","7","test_a_path_carries_the_kind_and_the_encoding","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DApiTest","api_test","",""
"","2119","test_wire_voltage_divider_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","2026-09-22","passed","2026-09-22","","rcx25_R_sky130A_test","",""
"","30","test_werror_turns_a_warning_into_a_failure","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DCLITest","pex25d_cli_test","",""
