Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;li1;met1;15.71;
C2;li1;met2;0.152;
C3;met1;met2;257.488;
C4;VSUBS;li1;11.793;
C5;VSUBS;met1;57.99;
C6;VSUBS;met2;5.291;
