g1_VSUBS;g1_VDD;g1_VSS
1.16234e-15;-4.50725e-16;-3.168925e-16
-4.50725e-16;2.08998e-15;-1.122337e-15
-3.168925e-16;-1.122337e-15;1.42858e-15
